epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0653,1.27639,2.01967,1.21713,0.5097,0.3679,0.38004,0.26564,1.42173,1.92107,1.29441,0.0001232,0.0001232,0.0001232
2,27.0941,1.22308,1.82182,1.18012,0.48916,0.36389,0.36755,0.24958,1.42416,1.9143,1.3057,0.000245295,0.000245295,0.000245295
3,42.7261,1.25317,1.76464,1.20151,0.51087,0.36198,0.38459,0.25844,1.43704,1.89816,1.3079,0.000362359,0.000362359,0.000362359
4,55.0609,1.20068,1.7111,1.17398,0.52214,0.3821,0.38964,0.25513,1.46917,1.88954,1.32673,0.000362131,0.000362131,0.000362131
5,70.7845,1.30149,1.73751,1.22282,0.49767,0.39468,0.39917,0.26696,1.46796,1.80758,1.31648,0.000354508,0.000354508,0.000354508
6,88.0031,1.30082,1.6987,1.24048,0.43415,0.43401,0.39289,0.26053,1.48125,1.75681,1.34937,0.000346885,0.000346885,0.000346885
7,102.228,1.27617,1.71303,1.23578,0.49611,0.43984,0.41036,0.27539,1.5009,1.78774,1.35256,0.000339262,0.000339262,0.000339262
8,116.257,1.26573,1.70793,1.23597,0.46721,0.41039,0.41729,0.27994,1.49253,1.69258,1.3497,0.000331639,0.000331639,0.000331639
9,130.617,1.3118,1.64433,1.22684,0.55479,0.38123,0.41375,0.28594,1.43821,1.7697,1.32795,0.000324016,0.000324016,0.000324016
10,144.616,1.25413,1.58265,1.20007,0.54192,0.37434,0.41062,0.27338,1.44441,1.69895,1.32851,0.000316393,0.000316393,0.000316393
11,157.933,1.24087,1.5483,1.20779,0.51944,0.4107,0.41794,0.26739,1.48463,1.66646,1.33055,0.00030877,0.00030877,0.00030877
12,171.735,1.249,1.56511,1.2116,0.51659,0.40998,0.4233,0.28081,1.45446,1.6741,1.3187,0.000301147,0.000301147,0.000301147
13,185.759,1.2307,1.50958,1.19609,0.53295,0.39435,0.40794,0.27134,1.44281,1.67695,1.32074,0.000293524,0.000293524,0.000293524
14,198.915,1.24832,1.51081,1.20863,0.521,0.40024,0.41827,0.28047,1.46727,1.67749,1.3381,0.000285901,0.000285901,0.000285901
15,213.451,1.20397,1.44542,1.19048,0.46364,0.40255,0.39952,0.25915,1.48849,1.72536,1.34621,0.000278278,0.000278278,0.000278278
16,225.516,1.18059,1.44177,1.17511,0.53269,0.37381,0.40555,0.26705,1.47374,1.75338,1.33432,0.000270655,0.000270655,0.000270655
